symbol,name_cn,issue_announcement_date,listing_date,asset_type_cn,exchange_cn,originator,financial_advisor,abs_plan_manager,fund_manager,offer_price_rmb,return_since_listing_pct,source_sheet,entity_type,price_asof,issue_size_rmb_bn,last_close_rmb,return_since_listing,asset_group,exchange,lifecycle_status,regulatory_path,regulatory_stage,zoning_type,pipeline_multiple_of_initial_assets,pipeline_readiness_score,regulatory_complexity_score,deflation_sensitivity_score,latest_news,source_url,source_asof,source_confidence,source_freshness
508016.SH,华夏华电清洁能源REIT,2025-06-24,2025-08-01,能源基础设施,上海证券交易所,杭州钱塘新区产业发展集团有限公司,,中信证券股份有限公司,华夏基金管理有限公司,3.789,-7.59977925465837,基础设施不动产REITs,listed_reit,2026-06-10,18.945,4.352,-0.0759977925465837,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508039.SH,创金合信首农REIT,2025-06-24,2025-07-25,园区基础设施,上海证券交易所,北京首农信息产业投资有限公司,中信建投证券股份有限公司,第一创业证券股份有限公司,创金合信基金管理有限公司,3.685,-12.6481317279257,基础设施不动产REITs,listed_reit,2026-06-10,36.85,4.05,-0.126481317279257,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180901.SZ,南方润泽科技数据中心REIT,2025-06-26,2025-08-08,新型基础设施,深圳证券交易所,润泽科技发展有限公司,华泰联合证券有限责任公司,南方资本管理有限公司,南方基金管理股份有限公司,4.5,13.1106125811966,基础设施不动产REITs,listed_reit,2026-06-10,45.0,6.57,0.131106125811966,new_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508060.SH,南方万国数据中心REIT,2025-06-26,2025-08-08,新型基础设施,上海证券交易所,万国数据控股有限公司,华泰联合证券有限责任公司,南方资本管理有限公司,南方基金管理股份有限公司,3.0,14.6110752307692,基础设施不动产REITs,listed_reit,2026-06-10,24.0,4.376,0.146110752307692,new_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508082.SH,中金唯品会奥莱REIT,2025-08-08,2025-09-12,消费基础设施,上海证券交易所,杉杉商业集团有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,3.48,0.0756836619079992,基础设施不动产REITs,listed_reit,2026-06-10,34.8,4.365,0.000756836619079992,consumer_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508091.SH,华夏凯德消费REIT,2025-09-01,2025-09-29,消费基础设施,上海证券交易所,CAPITALAND MALL ASIA LIMITED,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,5.718,-1.49771583850933,基础设施不动产REITs,listed_reit,2026-06-10,22.872,6.316,-0.014977158385093302,consumer_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180607.SZ,华夏中海消费REIT,2025-09-23,2025-10-31,消费基础设施,深圳证券交易所,中海环宇商业发展(深圳)有限公司,中信证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,5.281,0.453773895508691,基础设施不动产REITs,listed_reit,2026-06-10,15.843,5.445,0.00453773895508691,consumer_infrastructure,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508029.SH,中信建投沈阳国际软件园REIT,2025-09-24,2025-11-06,园区基础设施,上海证券交易所,沈阳国际软件园产业发展有限公司,中信建投证券股份有限公司,中信建投证券股份有限公司,中信建投基金管理有限公司,3.66,-4.0595155737705,基础设施不动产REITs,listed_reit,2026-06-10,10.98,3.361,-0.040595155737704995,industrial_park,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180306.SZ,华夏安博仓储REIT,2025-10-24,2025-12-19,仓储物流,深圳证券交易所,PCCLF HOLDING PTE. LTD.,,中信证券股份有限公司,华夏基金管理有限公司,6.121,-5.28929950900161,基础设施不动产REITs,listed_reit,2026-06-10,24.484,5.1,-0.052892995090016104,logistics,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508050.SH,华夏中核清洁能源REIT,2025-12-12,2026-02-02,能源基础设施,上海证券交易所,新疆新华水电投资股份有限公司,中信建投证券股份有限公司,中信证券股份有限公司,华夏基金管理有限公司,5.015,-0.93356153726466,基础设施不动产REITs,listed_reit,2026-06-10,15.045,6.398,-0.0093356153726466,energy_infrastructure,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508020.SH,东方红隧道股份高速公路REIT,2026-03-20,2026-04-22,交通基础设施,上海证券交易所,上海基础设施建设发展(集团)有限公司,国泰海通证券股份有限公司,上海东方证券资产管理有限公司,上海东方证券资产管理有限公司,4.68,-0.815533980582539,基础设施不动产REITs,listed_reit,2026-06-10,46.8,5.143,-0.00815533980582539,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
180503.SZ,中航北京昌保租赁住房REIT,2026-03-24,2026-04-29,保障性租赁住房,深圳证券交易所,北京市昌平保障房建设投资管理有限公司,招商证券股份有限公司,中航证券有限公司,中航基金管理有限公司,2.317,-2.9136690647482,基础设施不动产REITs,listed_reit,2026-06-10,9.268,2.713,-0.029136690647482002,rental_housing,SZSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508093.SH,易方达广西北投高速REIT,2026-04-17,2026-05-26,交通基础设施,上海证券交易所,广西北部湾投资集团有限公司,招商证券股份有限公司,易方达资产管理有限公司,易方达基金管理有限公司,8.25,1.65543336880689,基础设施不动产REITs,listed_reit,2026-06-10,24.75,8.56,0.0165543336880689,toll_road_transport,SSE,listed,default,listing,,,,,,,,2026-06-10,seed,stale_seed
508030.SH,中航中核汇能新能源REIT,2026-05-08,,能源基础设施,上海证券交易所,中核汇能有限公司,中信证券股份有限公司,中航证券有限公司,中航基金管理有限公司,6.619,,基础设施不动产REITs,approved_reit,2026-06-10,13.238,,,energy_infrastructure,SSE,approved_not_listed,default,offering_or_approved,,,,,,,,2026-06-10,seed,stale_seed
508603.SH,中金唯品会商业REIT,2026-05-14,,商业不动产,上海证券交易所,杉杉商业集团有限公司,中国国际金融股份有限公司,中国国际金融股份有限公司,中金基金管理有限公司,3.848,,商业不动产Reits,approved_reit,2026-06-10,76.96,,,commercial_real_estate,SSE,approved_not_listed,default,offering_or_approved,,,,,,,,2026-06-10,seed,stale_seed
508600.SH,汇添富上海地产商业REIT,2026-05-15,2026-06-18,商业不动产,上海证券交易所,上海世博发展(集团)有限公司,国泰海通证券股份有限公司,汇添富资本管理有限公司,汇添富基金管理股份有限公司,4.092,,商业不动产Reits,approved_reit,2026-06-10,40.92,,,commercial_real_estate,SSE,listing_scheduled,default,offering_or_approved,,,,,,,,2026-06-10,seed,stale_seed
508602.SH,国泰海通砂之船商业REIT,2026-05-15,2026-06-18,商业不动产,上海证券交易所,砂之船(西安)购物广场有限公司,国泰海通证券股份有限公司,上海国泰海通证券资产管理有限公司,上海国泰海通证券资产管理有限公司,5.531,,商业不动产Reits,approved_reit,2026-06-10,55.31,,,commercial_real_estate,SSE,listing_scheduled,default,offering_or_approved,,,,,,,,2026-06-10,seed,stale_seed
508601.SH,中信建投首农商业REIT,2026-05-15,,商业不动产,上海证券交易所,北京粮食集团有限责任公司,中信建投证券股份有限公司,中信建投证券股份有限公司,中信建投基金管理有限公司,3.013,,商业不动产Reits,approved_reit,2026-06-10,30.13,,,commercial_real_estate,SSE,approved_not_listed,default,offering_or_approved,,,,,,,,2026-06-10,seed,stale_seed
